win,lose,probability
San Antonio Spurs,New Orleans Pelicans,0.9450925718085503
Los Angeles Clippers,Washington Wizards,0.5696465959216184
Chicago Bulls,Detroit Pistons,0.5141098483234374
Dallas Mavericks,Denver Nuggets,0.618241611050782
Indiana Pacers,Washington Wizards,0.653107035314553
Minnesota Timberwolves,Phoenix Suns,0.5957894214268599
Oklahoma City Thunder,Atlanta Hawks,0.7688633610552683
Charlotte Hornets,Los Angeles Lakers,0.8989258517344672
Golden State Warriors,Utah Jazz,0.91563363317465
San Antonio Spurs,Houston Rockets,0.7559071394684429
Los Angeles Clippers,Denver Nuggets,0.8092005697234135
Boston Celtics,Memphis Grizzlies,0.6462909582191385
Miami Heat,Orlando Magic,0.7714382351505624
Cleveland Cavaliers,Milwaukee Bucks,0.8431817452738827
Indiana Pacers,New York Knicks,0.6868896092422379
New Orleans Pelicans,Philadelphia 76ers,0.8254518365507414
Portland Trail Blazers,Sacramento Kings,0.7628539766709248
Toronto Raptors,Brooklyn Nets,0.9201100824348989
Atlanta Hawks,Minnesota Timberwolves,0.7826057545838444
Chicago Bulls,Washington Wizards,0.5664529165775855
Cleveland Cavaliers,Milwaukee Bucks,0.9140176053074729
Detroit Pistons,Memphis Grizzlies,0.6300179750495328
Oklahoma City Thunder,New Orleans Pelicans,0.8677055862813112
Houston Rockets,Phoenix Suns,0.7913309777713902
Portland Trail Blazers,Dallas Mavericks,0.6551004263232751
Utah Jazz,Sacramento Kings,0.6690231596429942
Golden State Warriors,Brooklyn Nets,0.9577338128583123
Indiana Pacers,Boston Celtics,0.5409396176455059
San Antonio Spurs,Los Angeles Clippers,0.568713416121265
Miami Heat,Los Angeles Lakers,0.9052936316856274
Orlando Magic,New York Knicks,0.5447723140994942
Oklahoma City Thunder,Boston Celtics,0.5991325429124452
Charlotte Hornets,Chicago Bulls,0.7225054347642837
Cleveland Cavaliers,Brooklyn Nets,0.9526471322813412
Atlanta Hawks,Denver Nuggets,0.7130678103799533
Golden State Warriors,Detroit Pistons,0.8006124363452636
Los Angeles Clippers,Dallas Mavericks,0.763328163551114
Houston Rockets,Memphis Grizzlies,0.5749945100156137
Washington Wizards,Milwaukee Bucks,0.6366364936524356
Sacramento Kings,Minnesota Timberwolves,0.5498210675895876
Miami Heat,New Orleans Pelicans,0.7354422557251803
Orlando Magic,Los Angeles Lakers,0.7649425913805527
Phoenix Suns,Philadelphia 76ers,0.6352140610300812
San Antonio Spurs,Portland Trail Blazers,0.6912739947573248
Toronto Raptors,Utah Jazz,0.6153294161595433
Cleveland Cavaliers,Golden State Warriors,0.5379557918273724
Los Angeles Clippers,Los Angeles Lakers,0.8939077797751824
Boston Celtics,New York Knicks,0.7245080883366313
Oklahoma City Thunder,Minnesota Timberwolves,0.8776312212254381
San Antonio Spurs,Chicago Bulls,0.9156253210237078
Charlotte Hornets,Brooklyn Nets,0.8627281605502515
Indiana Pacers,Chicago Bulls,0.5049719387974176
Cleveland Cavaliers,Detroit Pistons,0.6879867580008936
Houston Rockets,Phoenix Suns,0.7698918783586561
Los Angeles Clippers,Denver Nuggets,0.8092005697234135
Atlanta Hawks,Minnesota Timberwolves,0.7172256194672142
Dallas Mavericks,New Orleans Pelicans,0.6467320352265228
Orlando Magic,Memphis Grizzlies,0.5054736462568337
Toronto Raptors,Portland Trail Blazers,0.5571124626305051
Sacramento Kings,Philadelphia 76ers,0.7935756446514005
Washington Wizards,Milwaukee Bucks,0.6905627292851017
Boston Celtics,Memphis Grizzlies,0.7379929973125273
Dallas Mavericks,Houston Rockets,0.5419908582170654
Utah Jazz,Los Angeles Lakers,0.8328497585231851
Oklahoma City Thunder,Miami Heat,0.5837076694600214
Atlanta Hawks,New York Knicks,0.8174671899939744
Chicago Bulls,Brooklyn Nets,0.8015790015677259
Minnesota Timberwolves,Denver Nuggets,0.5354523105303413
Detroit Pistons,Milwaukee Bucks,0.6945472234091079
Golden State Warriors,Toronto Raptors,0.8349081092992563
Los Angeles Clippers,New Orleans Pelicans,0.7751106549775889
Charlotte Hornets,Orlando Magic,0.6497815087595857
Portland Trail Blazers,Sacramento Kings,0.7199249639970152
San Antonio Spurs,Phoenix Suns,0.9602216943326705
Washington Wizards,Indiana Pacers,0.5061447950416295
Charlotte Hornets,Miami Heat,0.6102267960062137
Cleveland Cavaliers,Boston Celtics,0.8028525882486877
Dallas Mavericks,Los Angeles Lakers,0.817365839035212
Oklahoma City Thunder,Memphis Grizzlies,0.7973597003716248
Toronto Raptors,Phoenix Suns,0.8803186345993512
Utah Jazz,Philadelphia 76ers,0.8889767968554806
Atlanta Hawks,Detroit Pistons,0.6658586333510482
Boston Celtics,Miami Heat,0.6121973531574343
Denver Nuggets,Philadelphia 76ers,0.7679950179229348
Golden State Warriors,Dallas Mavericks,0.9235653869072927
Los Angeles Clippers,Houston Rockets,0.5782136671671423
Indiana Pacers,Chicago Bulls,0.6822422999214592
Milwaukee Bucks,Minnesota Timberwolves,0.5130053769065799
New York Knicks,New Orleans Pelicans,0.5115722047167487
San Antonio Spurs,Portland Trail Blazers,0.811149961855722
Washington Wizards,Brooklyn Nets,0.8085570420080416
Chicago Bulls,Milwaukee Bucks,0.680980750348701
Cleveland Cavaliers,Charlotte Hornets,0.5734025754945994
Houston Rockets,New York Knicks,0.7059211528165851
Oklahoma City Thunder,Los Angeles Clippers,0.7305571711338775
Memphis Grizzlies,Sacramento Kings,0.5426965942590891
Utah Jazz,Phoenix Suns,0.7844296090352529
San Antonio Spurs,Atlanta Hawks,0.6240430253916776
Indiana Pacers,Orlando Magic,0.7214147967054761
Toronto Raptors,Los Angeles Lakers,0.9144786652937362
Miami Heat,Detroit Pistons,0.665242529042751
Portland Trail Blazers,Minnesota Timberwolves,0.7922253006012882
Utah Jazz,Brooklyn Nets,0.8125732811396889
Charlotte Hornets,Chicago Bulls,0.5426120944804107
Cleveland Cavaliers,New Orleans Pelicans,0.9216863852964201
Golden State Warriors,Denver Nuggets,0.9407892747861033
Houston Rockets,Washington Wizards,0.5687682009552119
Los Angeles Clippers,Phoenix Suns,0.8871011528412628
Oklahoma City Thunder,Milwaukee Bucks,0.8577213996255258
Orlando Magic,New York Knicks,0.5447723140994942
Boston Celtics,Utah Jazz,0.6828514344582306
Dallas Mavericks,Washington Wizards,0.5833260092048576
Sacramento Kings,Denver Nuggets,0.5447641331208146
Detroit Pistons,Indiana Pacers,0.5108218001897048
Memphis Grizzlies,Los Angeles Lakers,0.7920462510194647
Minnesota Timberwolves,Philadelphia 76ers,0.8539509671465119
Miami Heat,Phoenix Suns,0.8237802196100327
San Antonio Spurs,Toronto Raptors,0.805714814867598
Oklahoma City Thunder,Charlotte Hornets,0.6011225261229682
Cleveland Cavaliers,Chicago Bulls,0.881236217239546
Golden State Warriors,Portland Trail Blazers,0.8396890647255643
Los Angeles Clippers,Memphis Grizzlies,0.791222671260561
Milwaukee Bucks,New York Knicks,0.5018616850325819
Atlanta Hawks,Orlando Magic,0.6382187583069316
Miami Heat,Sacramento Kings,0.6792240843591362
Dallas Mavericks,Phoenix Suns,0.7802828918223833
San Antonio Spurs,Denver Nuggets,0.8732171823394905
Charlotte Hornets,Detroit Pistons,0.5268941378139084
Oklahoma City Thunder,Houston Rockets,0.7228954847792595
Indiana Pacers,Brooklyn Nets,0.8534003902291883
Atlanta Hawks,New Orleans Pelicans,0.7374863223333444
Portland Trail Blazers,Los Angeles Lakers,0.8766312357341685
Toronto Raptors,Utah Jazz,0.7769719319558558
Boston Celtics,Philadelphia 76ers,0.927800343239939
Cleveland Cavaliers,Brooklyn Nets,0.9256133385395928
Golden State Warriors,Memphis Grizzlies,0.9342020222959672
Miami Heat,Los Angeles Lakers,0.8717262806571874
Milwaukee Bucks,New York Knicks,0.509507181625326
Houston Rockets,Orlando Magic,0.586109369069402
Los Angeles Clippers,Sacramento Kings,0.7241603507804033
Washington Wizards,Minnesota Timberwolves,0.6664842772636148
Boston Celtics,New Orleans Pelicans,0.8063570173993468
Toronto Raptors,Chicago Bulls,0.6371863041715173
Atlanta Hawks,Dallas Mavericks,0.5128413616643475
Indiana Pacers,New York Knicks,0.7740903010086373
Utah Jazz,Minnesota Timberwolves,0.6479089559847121
Oklahoma City Thunder,Denver Nuggets,0.8703383792685135
San Antonio Spurs,Charlotte Hornets,0.8599304599892232
Brooklyn Nets,Philadelphia 76ers,0.5792404418803804
Los Angeles Clippers,Miami Heat,0.6798986749611182
Orlando Magic,Los Angeles Lakers,0.7721086876865664
Utah Jazz,Memphis Grizzlies,0.5501098177244235
Washington Wizards,Milwaukee Bucks,0.6366364936524356
Cleveland Cavaliers,Phoenix Suns,0.9077263821464968
Portland Trail Blazers,Detroit Pistons,0.5963250051263341
Golden State Warriors,Sacramento Kings,0.8902818944674392
Toronto Raptors,Houston Rockets,0.7589556868815983
Oklahoma City Thunder,Chicago Bulls,0.724781231258826
Dallas Mavericks,Minnesota Timberwolves,0.6230471151944598
New York Knicks,New Orleans Pelicans,0.5235649060475374
Atlanta Hawks,Brooklyn Nets,0.8566449224711082
Golden State Warriors,Miami Heat,0.8883600973609858
Charlotte Hornets,Houston Rockets,0.5402698879624791
Portland Trail Blazers,Los Angeles Lakers,0.9116935944857638
Detroit Pistons,Sacramento Kings,0.6419552227313843
San Antonio Spurs,Milwaukee Bucks,0.9395655315783122
Toronto Raptors,Boston Celtics,0.6998210509883352
Cleveland Cavaliers,Utah Jazz,0.6814631773157542
Washington Wizards,Chicago Bulls,0.6090292065277757
Boston Celtics,Washington Wizards,0.6971673439971404
Los Angeles Clippers,Orlando Magic,0.8098997244587048
Houston Rockets,Minnesota Timberwolves,0.6706230552304602
Oklahoma City Thunder,Memphis Grizzlies,0.8571038644082104
New York Knicks,Philadelphia 76ers,0.8245620675015761
Cleveland Cavaliers,Portland Trail Blazers,0.6271910182632419
New Orleans Pelicans,Brooklyn Nets,0.6915156630912696
Indiana Pacers,Denver Nuggets,0.6920655479557618
Golden State Warriors,Detroit Pistons,0.9038232725496593
Chicago Bulls,New York Knicks,0.5907253719398011
Dallas Mavericks,Phoenix Suns,0.7548158933607985
San Antonio Spurs,Los Angeles Lakers,0.9737314327961789
Atlanta Hawks,Boston Celtics,0.6063161942658613
Houston Rockets,Memphis Grizzlies,0.6174042867172035
Miami Heat,Milwaukee Bucks,0.7187120852385172
Oklahoma City Thunder,Minnesota Timberwolves,0.8555263052851527
Charlotte Hornets,Philadelphia 76ers,0.9298672482325508
Portland Trail Blazers,Orlando Magic,0.7150177554749885
Cleveland Cavaliers,Sacramento Kings,0.8167110088903969
Toronto Raptors,Brooklyn Nets,0.9201100824348989
Utah Jazz,Detroit Pistons,0.5373941910028346
Chicago Bulls,New Orleans Pelicans,0.7026729552135289
Los Angeles Clippers,Los Angeles Lakers,0.9234651390107969
San Antonio Spurs,Phoenix Suns,0.9290430579615363
Utah Jazz,Orlando Magic,0.6636407845546228
Washington Wizards,Philadelphia 76ers,0.8840545092222386
Atlanta Hawks,Milwaukee Bucks,0.8008063101989599
Houston Rockets,Brooklyn Nets,0.8274929038741318
Dallas Mavericks,Minnesota Timberwolves,0.6719253895664559
Detroit Pistons,Los Angeles Lakers,0.8519479164344246
Chicago Bulls,Memphis Grizzlies,0.5007013293501261
Oklahoma City Thunder,Sacramento Kings,0.8332194862827833
Toronto Raptors,New York Knicks,0.8714536498045518
Boston Celtics,Charlotte Hornets,0.5976273378246388
Orlando Magic,Denver Nuggets,0.550761065893447
Golden State Warriors,Cleveland Cavaliers,0.7908548135134197
Indiana Pacers,New Orleans Pelicans,0.7730107105260023
Oklahoma City Thunder,Los Angeles Clippers,0.5262518246253916
Milwaukee Bucks,Philadelphia 76ers,0.7611038814774986
Atlanta Hawks,New York Knicks,0.7080959914222903
Utah Jazz,Phoenix Suns,0.7741374731134819
Portland Trail Blazers,Washington Wizards,0.6185992145836317
Toronto Raptors,Brooklyn Nets,0.9029504690855078
Chicago Bulls,Dallas Mavericks,0.5763515699142523
Denver Nuggets,Los Angeles Lakers,0.7729056159156111
Miami Heat,Houston Rockets,0.6747180255202506
San Antonio Spurs,Minnesota Timberwolves,0.9329825256114217
Boston Celtics,New York Knicks,0.8073175413712673
Charlotte Hornets,Portland Trail Blazers,0.5075202806486598
Atlanta Hawks,Detroit Pistons,0.5143068219698267
Golden State Warriors,Oklahoma City Thunder,0.7713039154181276
Houston Rockets,Milwaukee Bucks,0.6830266640560917
Orlando Magic,New Orleans Pelicans,0.5808734299175524
Toronto Raptors,Philadelphia 76ers,0.9515224140851067
Indiana Pacers,Sacramento Kings,0.6593060539332283
Washington Wizards,Memphis Grizzlies,0.6256454241277575
Cleveland Cavaliers,Phoenix Suns,0.9428749975549775
Los Angeles Clippers,Minnesota Timberwolves,0.8192178487527524
Miami Heat,Dallas Mavericks,0.7187166965074714
Washington Wizards,New York Knicks,0.6220681601052
San Antonio Spurs,Denver Nuggets,0.9287205481102492
Atlanta Hawks,Chicago Bulls,0.7372692438591482
Toronto Raptors,Charlotte Hornets,0.5012533869714226
Dallas Mavericks,Utah Jazz,0.5669711296147784
Golden State Warriors,Houston Rockets,0.8090540340229281
Indiana Pacers,Los Angeles Lakers,0.8613208461431381
Memphis Grizzlies,Sacramento Kings,0.5520107343656294
New Orleans Pelicans,Brooklyn Nets,0.6186149273002539
Orlando Magic,Milwaukee Bucks,0.5771455600964842
Portland Trail Blazers,Philadelphia 76ers,0.9498775822975222
Atlanta Hawks,Philadelphia 76ers,0.9321369832222879
Boston Celtics,Portland Trail Blazers,0.5095927935217369
Chicago Bulls,Sacramento Kings,0.6480247606764424
Charlotte Hornets,Brooklyn Nets,0.8759203608621036
Cleveland Cavaliers,San Antonio Spurs,0.6143468357587215
Los Angeles Clippers,Denver Nuggets,0.7530198406430458
Detroit Pistons,Washington Wizards,0.5818995039022598
Houston Rockets,Memphis Grizzlies,0.5749945100156137
Miami Heat,Milwaukee Bucks,0.8003644271423344
New York Knicks,Phoenix Suns,0.6064795033650585
Utah Jazz,Indiana Pacers,0.5183701742762554
Dallas Mavericks,Los Angeles Lakers,0.8450424491079098
Denver Nuggets,Minnesota Timberwolves,0.556924971674702
Golden State Warriors,Orlando Magic,0.8699509293567113
Toronto Raptors,Phoenix Suns,0.9042978742393945
Atlanta Hawks,Los Angeles Clippers,0.5764411036946179
San Antonio Spurs,Brooklyn Nets,0.9430570593556502
Charlotte Hornets,Washington Wizards,0.6954137342085294
Detroit Pistons,Sacramento Kings,0.6622977076674319
Indiana Pacers,New York Knicks,0.7740903010086373
Golden State Warriors,Miami Heat,0.694876574633827
Houston Rockets,Milwaukee Bucks,0.6745588387152031
Cleveland Cavaliers,New Orleans Pelicans,0.8540125716493102
Oklahoma City Thunder,Utah Jazz,0.7057645441339517
Utah Jazz,Denver Nuggets,0.6432389123350593
Chicago Bulls,Orlando Magic,0.5121105206955311
Los Angeles Clippers,Philadelphia 76ers,0.939270123363697
Minnesota Timberwolves,Phoenix Suns,0.6866320877854469
San Antonio Spurs,Toronto Raptors,0.5230217857322521
Boston Celtics,Washington Wizards,0.5391040938805015
Boston Celtics,Houston Rockets,0.6605537754511276
Miami Heat,Brooklyn Nets,0.8553466979994908
Atlanta Hawks,Chicago Bulls,0.5300699901423787
Golden State Warriors,Charlotte Hornets,0.7099517678731687
Cleveland Cavaliers,Sacramento Kings,0.9016587679985171
Dallas Mavericks,New York Knicks,0.7181433362539059
Toronto Raptors,Memphis Grizzlies,0.7240703214779194
Milwaukee Bucks,Philadelphia 76ers,0.7611038814774986
Oklahoma City Thunder,New Orleans Pelicans,0.8677055862813112
Portland Trail Blazers,Los Angeles Lakers,0.8766312357341685
Denver Nuggets,Phoenix Suns,0.6006950106293188
Indiana Pacers,Minnesota Timberwolves,0.6963981155347806
Oklahoma City Thunder,Dallas Mavericks,0.8361892838106275
Utah Jazz,Los Angeles Lakers,0.8482047267605611
Atlanta Hawks,Washington Wizards,0.7110424637680723
Boston Celtics,Orlando Magic,0.7599874462524462
Miami Heat,Chicago Bulls,0.5274457383891
Cleveland Cavaliers,Brooklyn Nets,0.9526471322813412
Indiana Pacers,Sacramento Kings,0.726254024597
San Antonio Spurs,New Orleans Pelicans,0.8861820867342944
Charlotte Hornets,New York Knicks,0.7184107879127125
Houston Rockets,Philadelphia 76ers,0.9100689936017193
Portland Trail Blazers,Memphis Grizzlies,0.6905801428833843
Toronto Raptors,Milwaukee Bucks,0.8588697125836581
Charlotte Hornets,Sacramento Kings,0.7628786851014211
Golden State Warriors,Los Angeles Clippers,0.8651936213928735
Miami Heat,Detroit Pistons,0.665242529042751
Boston Celtics,Milwaukee Bucks,0.7367983854736566
Minnesota Timberwolves,Brooklyn Nets,0.6424185035245448
Denver Nuggets,Phoenix Suns,0.7007043073594887
Utah Jazz,Memphis Grizzlies,0.6370339743157898
Atlanta Hawks,New York Knicks,0.8174671899939744
Chicago Bulls,Philadelphia 76ers,0.8794179379777544
Cleveland Cavaliers,Oklahoma City Thunder,0.6541023964948618
Indiana Pacers,Houston Rockets,0.6141149605765083
Washington Wizards,New Orleans Pelicans,0.6559111679051338
Golden State Warriors,Portland Trail Blazers,0.7539121949250512
San Antonio Spurs,Dallas Mavericks,0.9083280588297614
Toronto Raptors,Orlando Magic,0.8366909420695112
Boston Celtics,Detroit Pistons,0.6508791685925887
Cleveland Cavaliers,Dallas Mavericks,0.6867261338808488
Miami Heat,Brooklyn Nets,0.883549754518729
Orlando Magic,Minnesota Timberwolves,0.5558057022269034
Sacramento Kings,Philadelphia 76ers,0.858564861842587
Memphis Grizzlies,Phoenix Suns,0.7237554095613974
Houston Rockets,Sacramento Kings,0.6501734523966409
Denver Nuggets,Los Angeles Lakers,0.7729056159156111
Portland Trail Blazers,Charlotte Hornets,0.5406248764568005
San Antonio Spurs,Oklahoma City Thunder,0.7344408399925056
Toronto Raptors,New Orleans Pelicans,0.8707616631649507
Washington Wizards,New York Knicks,0.7131415033577214
Boston Celtics,Toronto Raptors,0.5008197326427409
New York Knicks,Brooklyn Nets,0.6901993889563813
Cleveland Cavaliers,Minnesota Timberwolves,0.9049332913588279
Dallas Mavericks,Philadelphia 76ers,0.886550296508747
Memphis Grizzlies,Denver Nuggets,0.5795176867316812
Detroit Pistons,New Orleans Pelicans,0.7157020720001526
Golden State Warriors,Charlotte Hornets,0.8821686830080684
Miami Heat,Atlanta Hawks,0.6247749928908805
Oklahoma City Thunder,Chicago Bulls,0.8482697027006775
Indiana Pacers,Orlando Magic,0.6146982032199977
Los Angeles Clippers,Phoenix Suns,0.8528531912273598
Utah Jazz,Milwaukee Bucks,0.7009204465060954
Atlanta Hawks,Houston Rockets,0.5277194588656764
Golden State Warriors,Los Angeles Clippers,0.6433902141919112
San Antonio Spurs,Philadelphia 76ers,0.9815216642910057
Washington Wizards,Los Angeles Lakers,0.8417964753384275
Boston Celtics,Los Angeles Lakers,0.899676803810022
Indiana Pacers,Brooklyn Nets,0.8438505730368016
Milwaukee Bucks,Denver Nuggets,0.5079050228316406
Detroit Pistons,Minnesota Timberwolves,0.6706309397482032
Houston Rockets,Chicago Bulls,0.6006557584890414
Oklahoma City Thunder,Memphis Grizzlies,0.8571038644082104
Toronto Raptors,Orlando Magic,0.7330962137875933
Portland Trail Blazers,Dallas Mavericks,0.6551004263232751
Sacramento Kings,Phoenix Suns,0.6359786016300268
Atlanta Hawks,Orlando Magic,0.7719258996326641
Indiana Pacers,Detroit Pistons,0.6039104435973646
Miami Heat,Philadelphia 76ers,0.9319616859269444
Memphis Grizzlies,Minnesota Timberwolves,0.5844830281381009
Cleveland Cavaliers,New York Knicks,0.8347448826619426
Milwaukee Bucks,Phoenix Suns,0.6623973059628352
Golden State Warriors,Sacramento Kings,0.8902818944674392
San Antonio Spurs,Denver Nuggets,0.9287205481102492
Charlotte Hornets,Utah Jazz,0.5193554862389982
Washington Wizards,New Orleans Pelicans,0.711879057987043
Boston Celtics,Los Angeles Clippers,0.5601013280449026
Toronto Raptors,Brooklyn Nets,0.9029504690855078
Oklahoma City Thunder,Portland Trail Blazers,0.6887439826306805
Atlanta Hawks,Utah Jazz,0.6970974945060342
Dallas Mavericks,Denver Nuggets,0.618241611050782
Detroit Pistons,Philadelphia 76ers,0.8859589446400932
Oklahoma City Thunder,Indiana Pacers,0.6463360407957368
San Antonio Spurs,Memphis Grizzlies,0.8236642755877706
Miami Heat,Minnesota Timberwolves,0.7150847405838374
New Orleans Pelicans,Phoenix Suns,0.5709548747217187
New York Knicks,Los Angeles Lakers,0.7029651274015924
Chicago Bulls,Sacramento Kings,0.5600956722750765
Toronto Raptors,Los Angeles Clippers,0.6732173373925324
Cleveland Cavaliers,Washington Wizards,0.6919896272088802
Charlotte Hornets,Brooklyn Nets,0.8759203608621036
Portland Trail Blazers,Dallas Mavericks,0.6127833577872404
Houston Rockets,Orlando Magic,0.6446473585312373
Atlanta Hawks,Denver Nuggets,0.7711265514265055
Washington Wizards,Brooklyn Nets,0.8021648530611272
Detroit Pistons,Los Angeles Lakers,0.8442727437250078
Golden State Warriors,Chicago Bulls,0.9297435443561419
Cleveland Cavaliers,Indiana Pacers,0.6197707143078329
Memphis Grizzlies,Phoenix Suns,0.689267556929344
Miami Heat,Milwaukee Bucks,0.7187120852385172
Toronto Raptors,Minnesota Timberwolves,0.7979431812580355
Utah Jazz,New Orleans Pelicans,0.6708569856336586
Los Angeles Clippers,New York Knicks,0.7484961226936169
San Antonio Spurs,Philadelphia 76ers,0.9721747729219228
Boston Celtics,Sacramento Kings,0.6987852846986466
Charlotte Hornets,Houston Rockets,0.6586919441537061
Dallas Mavericks,Utah Jazz,0.5669711296147784
Oklahoma City Thunder,Cleveland Cavaliers,0.6150104754052981
Orlando Magic,Philadelphia 76ers,0.8234230909434322
Portland Trail Blazers,Boston Celtics,0.5330806230796434
Miami Heat,Brooklyn Nets,0.8553466979994908
San Antonio Spurs,Detroit Pistons,0.7458540223168322
Golden State Warriors,Memphis Grizzlies,0.8646989038382321
Milwaukee Bucks,Los Angeles Lakers,0.6897601955670326
Minnesota Timberwolves,New Orleans Pelicans,0.5124331959250263
Denver Nuggets,New York Knicks,0.5458966707454432
Chicago Bulls,Phoenix Suns,0.7375965618996769
Atlanta Hawks,Sacramento Kings,0.6815144108240654
Washington Wizards,Indiana Pacers,0.5061447950416295
Charlotte Hornets,Los Angeles Clippers,0.5580571518758406
Cleveland Cavaliers,Denver Nuggets,0.8990804727490123
Dallas Mavericks,Orlando Magic,0.6581830395224347
Houston Rockets,Phoenix Suns,0.7698918783586561
Indiana Pacers,Milwaukee Bucks,0.754658421688311
Golden State Warriors,Oklahoma City Thunder,0.5326981061450793
Miami Heat,Philadelphia 76ers,0.9257854642100697
Boston Celtics,Utah Jazz,0.5269247021087327
Chicago Bulls,Minnesota Timberwolves,0.6014597936847347
San Antonio Spurs,New York Knicks,0.8705164516455679
Sacramento Kings,New Orleans Pelicans,0.5547160010158066
Toronto Raptors,Detroit Pistons,0.7510285689611373
